contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0001063,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001065,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001066,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001070,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0001071,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001077,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001080,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001083,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001085,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001086,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001087,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001089,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001090,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001091,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001092,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001093,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001097,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001098,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001099,Halomonas;Psychrobacter,2,True,True,False,False,down,up,,
D55_vs_D0,OG0001101,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0001104,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001105,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001106,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001109,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001111,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001112,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001113,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0001115,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001116,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001118,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001119,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001121,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001124,Psychrobacter;Aequorivita,2,False,True,True,False,,down,down,
D55_vs_D0,OG0001125,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001129,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001130,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001134,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001135,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001138,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001139,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001141,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001142,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001144,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001145,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001148,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001150,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001152,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001153,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001154,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001155,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001156,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001157,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001159,Psychrobacter;Aequorivita,2,False,True,True,False,,down,down,
D55_vs_D0,OG0001161,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001162,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001163,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001165,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001167,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001168,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001169,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001170,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001171,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001173,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001174,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001176,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001179,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001180,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001181,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001182,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001186,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001187,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001189,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001191,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001193,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001194,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001196,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001197,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001198,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001199,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001200,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001204,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001206,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001207,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001209,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001210,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001211,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001212,Halomonas;Aequorivita,2,True,False,True,False,up,,down,
D55_vs_D0,OG0001213,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001214,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001215,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001217,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001219,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001222,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001223,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0001224,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001225,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001229,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001230,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001231,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001232,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001234,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001235,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001237,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001238,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001239,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001241,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001243,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001244,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001247,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001248,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001249,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001250,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001252,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001253,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001254,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001255,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001257,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001258,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001259,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001260,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0001261,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001263,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001264,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001265,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001270,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001271,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001274,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001276,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001278,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,down,down,,down
D55_vs_D0,OG0001279,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001280,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001284,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001285,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001287,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001288,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001289,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001290,Psychrobacter;Sphingopyxis,2,False,True,False,True,,down,,up
D55_vs_D0,OG0001294,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001296,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001299,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001300,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001301,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001303,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0001306,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001307,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001308,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001310,Halomonas;Psychrobacter,2,True,True,False,False,down,up,,
D55_vs_D0,OG0001312,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001313,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0001314,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001316,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001317,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001319,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001320,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001323,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001324,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0001327,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001328,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001329,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001330,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001332,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001336,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001337,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001339,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001340,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001342,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001344,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001347,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001350,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001351,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0001352,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001353,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001354,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001355,Halomonas;Psychrobacter,2,True,True,False,False,down,up,,
D55_vs_D0,OG0001357,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001362,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001363,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001364,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001366,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001368,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,down,up,,down
D55_vs_D0,OG0001369,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001370,Halomonas;Psychrobacter,2,True,True,False,False,down,down,,
D55_vs_D0,OG0001371,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001372,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001374,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001375,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001377,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0001379,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001380,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001383,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001385,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0001386,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001387,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001388,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001389,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001390,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001392,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001393,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0001394,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,up,down,,up
D55_vs_D0,OG0001395,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001398,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001401,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001405,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0001406,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0001408,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001409,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001410,Halomonas;Psychrobacter,2,True,True,False,False,up,up,,
D55_vs_D0,OG0001411,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0001412,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001414,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001416,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001419,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001421,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0001422,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001423,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001426,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001427,Halomonas;Psychrobacter,2,True,True,False,False,down,up,,
D55_vs_D0,OG0001429,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001431,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001432,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001436,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001437,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001438,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0001439,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0001440,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001441,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001442,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001444,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001445,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001446,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001447,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001448,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001449,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001454,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001464,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001467,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001474,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001475,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001476,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001481,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001482,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001484,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001485,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001486,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001489,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001493,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001496,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001500,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001502,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001503,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001505,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001510,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001511,Halomonas;Aequorivita,2,True,False,True,False,up,,up,
D55_vs_D0,OG0001513,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001514,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001517,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001518,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001521,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001522,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001523,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001526,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001527,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001528,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001532,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001533,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001534,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001537,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001538,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001542,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001543,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001544,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001545,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,down
D55_vs_D0,OG0001547,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0001549,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0001554,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001555,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001556,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001562,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001565,Halomonas;Aequorivita,2,True,False,True,False,up,,down,
D55_vs_D0,OG0001566,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001567,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001568,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001570,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001571,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001573,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001575,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001576,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001577,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001581,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001588,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0001590,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,down
D55_vs_D0,OG0001593,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001595,Psychrobacter;Aequorivita,2,False,True,True,False,,down,down,
D55_vs_D0,OG0001597,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001598,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0001607,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001612,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001613,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0001616,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001620,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001621,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001622,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001623,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001627,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0001629,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001630,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001632,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001634,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001635,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001638,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001643,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001645,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001646,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001647,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001650,Psychrobacter;Aequorivita,2,False,True,True,False,,up,down,
D55_vs_D0,OG0001651,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001653,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001655,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001656,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001661,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0001662,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0001663,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0001664,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0001666,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0001668,Sphingopyxis,1,False,False,False,True,,,,down
