"strain","sample","condition","condition_label","PC1_for_plot","PC2_for_plot","PC1_percent","PC2_percent","n_orthogroups_used"
"Halomonas","D55MPa1","D55","55D",-32.2696418599705,-22.943228686995,37.3337251875655,26.4725165457465,1676
"Halomonas","D55MPa2","D55","55D",-32.7744406962679,-23.1364497644439,37.3337251875655,26.4725165457465,1676
"Halomonas","D55MPa3","D55","55D",-24.5493992557086,-17.1998202065349,37.3337251875655,26.4725165457465,1676
"Halomonas","D55MPa4","D55","55D",-26.3262222968092,-17.8576768738019,37.3337251875655,26.4725165457465,1676
"Halomonas","D0.1MPa1","D0","0D",-10.9109762470903,30.4810543237366,37.3337251875655,26.4725165457465,1676
"Halomonas","D0.1MPa2","D0","0D",-9.2678017716281,30.8259087889149,37.3337251875655,26.4725165457465,1676
"Halomonas","D0.1MPa3","D0","0D",-12.0485788153299,29.6856601767325,37.3337251875655,26.4725165457465,1676
"Halomonas","D0.1MPa4","D0","0D",-10.9504078694059,30.904251786572,37.3337251875655,26.4725165457465,1676
"Halomonas","B55MPa1","B55","55B",23.1652146125856,-7.76314891369385,37.3337251875655,26.4725165457465,1676
"Halomonas","B55MPa2","B55","55B",23.3253520701637,-8.07108841182059,37.3337251875655,26.4725165457465,1676
"Halomonas","B55MPa3","B55","55B",28.7104877399721,-14.6618862006118,37.3337251875655,26.4725165457465,1676
"Halomonas","B0.1MPa1","B0","0B",27.1409061914307,-3.30072362795635,37.3337251875655,26.4725165457465,1676
"Halomonas","B0.1MPa2","B0","0B",29.010251835786,-3.83961813428298,37.3337251875655,26.4725165457465,1676
"Halomonas","B0.1MPa3","B0","0B",27.7452563622723,-3.12323425581481,37.3337251875655,26.4725165457465,1676
"Sphingopyxis","SPH5500D1","D55","55D",31.1373558062884,-4.61614104088702,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500D2","D55","55D",30.9986341796528,-4.08049696193894,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500D3","D55","55D",29.6133025619608,-5.85841417273232,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500D4","D55","55D",31.3018291650653,-4.1941937552472,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0D1","D0","0D",-17.0403319701132,36.2793009154676,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0D2","D0","0D",-17.3879016488595,34.5618819631409,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0D3","D0","0D",-17.25526403179,33.5183522218218,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0D4","D0","0D",-20.1308406524764,26.6464043565505,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500B1","B55","55B",22.0305971458425,-6.02090494788734,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500B2","B55","55B",19.7293173133266,-2.88152985858614,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500B3","B55","55B",22.197363867337,-4.30030174028468,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH5500B4","B55","55B",21.7211463739112,-3.51533890629094,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0B1","B0","0B",-33.9618048689997,-24.2536877013616,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0B2","B0","0B",-34.1967874986136,-25.0936161092114,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0B3","B0","0B",-34.5814599023882,-24.2220842880711,47.3630224825495,27.7306639529676,1634
"Sphingopyxis","SPH0B4","B0","0B",-34.175155840144,-21.9692299744822,47.3630224825495,27.7306639529676,1634
"Aequorivita","AE5500D1","D55","55D",-1.81689193758115,13.9763283493667,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE5500D3","D55","55D",0.863872383274303,19.9727902341876,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE5500D4","D55","55D",0.726750499208111,16.7197285526533,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0D1","D0","0D",20.8298675023188,12.5724027045669,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0D2","D0","0D",28.7457828661768,12.6306324430279,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0D3","D0","0D",34.6177495019644,8.68093124253346,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0D4","D0","0D",35.1273571257577,-2.92934396762566,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE5500B1","B55","55B",-27.1500141954061,11.1160815990776,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE5500B2","B55","55B",-29.0287445249344,9.1958868822854,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE5500B3","B55","55B",-29.1789250694437,5.27509139481605,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE5500B4","B55","55B",-28.4780821535088,8.27090738206903,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0B1","B0","0B",-1.65366595419157,-29.9984027436383,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0B2","B0","0B",2.03110014164576,-30.2588138726457,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0B3","B0","0B",0.107773541563048,-29.6886930108408,39.6273290009188,27.9848112948937,1258
"Aequorivita","AE0B4","B0","0B",-5.74392972684326,-25.5355271898335,39.6273290009188,27.9848112948937,1258
"Psychrobacter","PSY5500D1","D55","55D",0.561579955673568,-10.9047644024402,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500D2","D55","55D",3.98418409998733,-7.88227983030988,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500D3","D55","55D",0.900517321486377,-4.31471989072281,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500D4","D55","55D",2.47630455237383,-9.77566613325288,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0D1","D0","0D",28.3145417131388,-12.7999030571076,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0D2","D0","0D",33.3165112165241,-10.9433353689998,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0D3","D0","0D",31.9135017961066,-14.7117674137591,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0D4","D0","0D",31.5670838671207,-17.6435761469036,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500B1","B55","55B",-40.6682409134675,-10.5343116851457,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500B2","B55","55B",-38.4005696305298,-13.4201363484528,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500B3","B55","55B",-34.5190699730106,-5.36998961715008,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY5500B4","B55","55B",-33.4872412745189,-6.89819333152632,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0B1","B0","0B",0.578333579160904,28.0491179716975,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0B2","B0","0B",4.60909289398977,32.8307036529585,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0B3","B0","0B",5.51548617055904,35.2425472356309,41.2495624193592,23.6741679538725,1528
"Psychrobacter","PSY0B4","B0","0B",3.33798462540589,29.0762743654838,41.2495624193592,23.6741679538725,1528
